一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
蔬菜,,大白菜,0.5,0.65,0.8,,冀,斤,2022-08-30 00:00:00
蔬菜,,娃娃菜,1.0,1.1,1.2,大,冀,斤,2022-08-30 00:00:00
蔬菜,,小白菜,2.4,2.6,2.8,,冀,斤,2022-08-30 00:00:00
蔬菜,,圆白菜,0.5,0.85,1.2,,冀,斤,2022-08-30 00:00:00
蔬菜,,紫甘蓝,1.2,1.3,1.4,,冀,斤,2022-08-30 00:00:00
蔬菜,,芹菜,1.1,1.3,1.5,,冀京,斤,2022-08-30 00:00:00
蔬菜,,西芹,2.0,2.1,2.2,,冀,斤,2022-08-30 00:00:00
蔬菜,,菠菜,4.0,4.75,5.5,,冀蒙,斤,2022-08-30 00:00:00
蔬菜,,莴笋,1.2,1.45,1.7,,冀蒙,斤,2022-08-30 00:00:00
蔬菜,,团生菜,2.2,2.85,3.5,毛\净,冀,斤,2022-08-30 00:00:00
蔬菜,,散叶生菜,4.0,4.75,5.5,,冀,斤,2022-08-30 00:00:00
蔬菜,,罗马生菜,3.5,3.75,4.0,,冀,斤,2022-08-30 00:00:00
蔬菜,,油菜,3.5,4.0,4.5,大\小,鲁冀京,斤,2022-08-30 00:00:00
蔬菜,,香菜,10.0,11.0,12.0,,冀云蒙,斤,2022-08-30 00:00:00
蔬菜,,茴香,4.0,4.25,4.5,,冀,斤,2022-08-30 00:00:00
蔬菜,,韭菜,2.0,2.25,2.5,,冀,斤,2022-08-30 00:00:00
蔬菜,,苦菊,2.5,2.9,3.3,,冀辽,斤,2022-08-30 00:00:00
蔬菜,,油麦菜,3.0,4.5,6.0,,冀辽,斤,2022-08-30 00:00:00
蔬菜,,散菜花,2.7,3.1,3.5,,冀蒙,斤,2022-08-30 00:00:00
蔬菜,,绿菜花,3.0,3.25,3.5,,冀,斤,2022-08-30 00:00:00
蔬菜,,绿豆芽,0.95,0.98,1.0,,,斤,2022-08-30 00:00:00
蔬菜,,黄豆芽,0.85,0.88,0.9,,,斤,2022-08-30 00:00:00
蔬菜,,番茄,1.0,1.4,1.8,黑框,蒙冀鲁,斤,2022-08-30 00:00:00
蔬菜,,番茄,1.6,2.1,2.6,纸箱\泡沫箱,冀蒙,斤,2022-08-30 00:00:00
蔬菜,,番茄,2.0,2.4,2.8,白框,蒙,斤,2022-08-30 00:00:00
蔬菜,,黄瓜,2.4,2.95,3.5,袋\箱,鲁辽,斤,2022-08-30 00:00:00
蔬菜,,黄瓜,3.5,4.0,4.5,鲜干花,冀,斤,2022-08-30 00:00:00
蔬菜,,小黄瓜,4.5,5.25,6.0,旱\荷兰,辽鲁,斤,2022-08-30 00:00:00
蔬菜,,茄子,2.0,2.7,3.4,,冀豫京鲁,斤,2022-08-30 00:00:00
蔬菜,,长茄,1.5,2.75,4.0,,冀晋辽,斤,2022-08-30 00:00:00
蔬菜,,线茄,1.0,2.5,4.0,袋\箱,冀京,斤,2022-08-30 00:00:00
蔬菜,,广茄,2.5,3.25,4.0,,冀京,斤,2022-08-30 00:00:00
蔬菜,,冬瓜,0.8,0.83,0.85,吊,冀,斤,2022-08-30 00:00:00
蔬菜,,冬瓜,0.4,0.45,0.5,地,冀,斤,2022-08-30 00:00:00
蔬菜,,毛冬瓜,0.7,0.95,1.2,长\小,冀豫,斤,2022-08-30 00:00:00
蔬菜,,架豆,4.0,5.75,7.5,,冀,斤,2022-08-30 00:00:00
蔬菜,,豆王,7.0,8.5,10.0,,辽,斤,2022-08-30 00:00:00
蔬菜,,扁豆,4.0,5.5,7.0,,冀晋,斤,2022-08-30 00:00:00
蔬菜,,豇豆,2.8,3.4,4.0,湿\干,冀辽,斤,2022-08-30 00:00:00
蔬菜,,白不老,4.0,5.75,7.5,,辽鲁,斤,2022-08-30 00:00:00
蔬菜,,油豆,5.0,6.25,7.5,,辽冀,斤,2022-08-30 00:00:00
蔬菜,,毛豆,2.3,2.65,3.0,,川云,斤,2022-08-30 00:00:00
蔬菜,,玉米,0.9,1.05,1.2,黏\甜,冀,斤,2022-08-30 00:00:00
蔬菜,,花生,2.6,3.8,5.0,,冀粤皖,斤,2022-08-30 00:00:00
蔬菜,,苦瓜,3.5,4.0,4.5,,冀鲁,斤,2022-08-30 00:00:00
蔬菜,,丝瓜,3.0,4.25,5.5,长\短,冀鲁,斤,2022-08-30 00:00:00
蔬菜,,西葫芦,2.8,3.2,3.6,袋\箱,冀蒙晋,斤,2022-08-30 00:00:00
蔬菜,,佛手瓜,2.0,2.25,2.5,,鲁,斤,2022-08-30 00:00:00
蔬菜,,瓠子,0.8,1.4,2.0,,京,斤,2022-08-30 00:00:00
